Wortpaar,zugeteilte Distanz,Distanz Klasse,Verglichen mit gegebener Distanz,Spieler ID,Art des Levels,Version der gegebenen Distanz,Anzahl Bewertungen
Tisch-Glas,1,1,initial,154,bonus,0,6
Glas-Toilettenpapier,2,1,anders,697,standard,3,4
Glas-Toilettenpapier,6,3,anders,416,standard,2,4
Glas-Toilettenpapier,2,1,anders,136,standard,1,4
Glas-Toilettenpapier,4,2,initial,367,standard,0,4
Waescheklammer-Glas,6,3,anders,697,standard,5,6
Waescheklammer-Glas,6,3,anders,845,standard,4,6
Waescheklammer-Glas,1,1,anders,801,standard,3,6
Waescheklammer-Glas,5,3,anders,629,standard,2,6
Waescheklammer-Glas,1,1,anders,143,standard,1,6
Waescheklammer-Glas,2,1,initial,952,bonus,0,6
Waschmaschine-Glas,1,1,anders,532,standard,1,2
Waschmaschine-Glas,6,3,initial,629,standard,0,2
Buegeleisen-Hemd,5,3,anders,704,standard,9,9
Buegeleisen-Hemd,2,1,gleich,256,standard,8,9
Buegeleisen-Hemd,4,2,anders,383,standard,7,9
Buegeleisen-Hemd,4,2,anders,719,standard,6,9
Buegeleisen-Hemd,3,2,anders,352,standard,5,9
Buegeleisen-Hemd,1,1,gleich,151,standard,4,9
Buegeleisen-Hemd,3,2,anders,242,standard,3,9
Buegeleisen-Hemd,2,1,anders,147,standard,2,9
Buegeleisen-Hemd,1,1,gleich,952,standard,1,9
Faden-Hemd,3,2,gleich,738,standard,5,6
Faden-Hemd,4,2,anders,261,bonus,4,6
Faden-Hemd,4,2,anders,629,standard,3,6
Faden-Hemd,2,1,anders,391,standard,2,6
Faden-Hemd,1,1,anders,352,standard,1,6
Faden-Hemd,5,3,initial,402,standard,0,6
Glas-Hemd,4,2,anders,697,bonus,3,4
Glas-Hemd,5,3,anders,416,standard,2,4
Glas-Hemd,2,1,anders,738,standard,1,4
Glas-Hemd,1,1,initial,383,standard,0,4
Hemd-Kabel,1,1,gleich,652,bonus,1,2
Hemd-Kabel,1,1,initial,306,standard,0,2
Kaffeemaschine-Hemd,5,3,gleich,416,standard,4,5
Kaffeemaschine-Hemd,5,3,anders,290,bonus,3,5
Kaffeemaschine-Hemd,3,2,anders,391,standard,2,5
Kaffeemaschine-Hemd,4,2,anders,151,bonus,1,5
Kaffeemaschine-Hemd,5,3,initial,395,standard,0,5
Hemd-Klebeband,3,2,initial,697,standard,0,1
Hemd-Korken,2,1,initial,600,standard,0,1
Hemd-Papier,1,1,anders,146,standard,1,2
Hemd-Papier,3,2,initial,719,standard,0,2
Hemd-Schere,6,3,initial,147,standard,0,1
Seife-Hemd,4,2,anders,697,bonus,5,6
Seife-Hemd,3,2,anders,261,bonus,4,6
Seife-Hemd,1,1,anders,652,standard,3,6
Seife-Hemd,3,2,anders,825,standard,2,6
Seife-Hemd,1,1,anders,383,standard,1,6
Seife-Hemd,2,1,initial,838,standard,0,6
Hemd-Tasse,4,2,initial,704,standard,0,1
Hemd-Tee,2,1,anders,738,standard,1,2
Hemd-Tee,5,3,initial,719,standard,0,2
Hemd-Teller,3,2,gleich,704,bonus,2,3
Hemd-Teller,4,2,anders,383,standard,1,3
Hemd-Teller,1,1,initial,838,standard,0,3
Tisch-Hemd,3,2,gleich,629,bonus,4,5
Tisch-Hemd,1,1,anders,643,standard,3,5
Tisch-Hemd,4,2,anders,719,standard,2,5
Tisch-Hemd,2,1,gleich,153,standard,1,5
Tisch-Hemd,2,1,initial,395,standard,0,5
Hemd-Toilettenpapier,1,1,initial,146,standard,0,1
Topfdeckel-Hemd,6,3,gleich,1008,standard,1,2
Topfdeckel-Hemd,6,3,initial,643,standard,0,2
Hemd-Waescheklammer,4,2,anders,261,bonus,7,7
Hemd-Waescheklammer,4,2,anders,825,standard,6,7
Hemd-Waescheklammer,4,2,anders,705,standard,5,7
Hemd-Waescheklammer,1,1,gleich,151,standard,4,7
Hemd-Waescheklammer,1,1,anders,147,standard,3,7
Hemd-Waescheklammer,2,1,gleich,952,bonus,2,7
Hemd-Waescheklammer,2,1,gleich,154,bonus,1,7
Hemd-Weinflasche,3,2,anders,416,standard,5,6
Hemd-Weinflasche,4,2,gleich,256,standard,4,6
Hemd-Weinflasche,2,1,anders,738,standard,3,6
Hemd-Weinflasche,6,3,anders,881,standard,2,6
Hemd-Weinflasche,3,2,anders,352,standard,1,6
Hemd-Weinflasche,6,3,initial,143,standard,0,6
Bleistift-Holzbrett,5,3,anders,643,standard,1,1
Holzbrett-Feuerzeug,1,1,anders,352,standard,1,2
Holzbrett-Feuerzeug,6,3,initial,543,standard,0,2
Glas-Holzbrett,2,1,anders,820,standard,3,4
Glas-Holzbrett,6,3,anders,643,standard,2,4
Glas-Holzbrett,6,3,anders,607,standard,1,4
Glas-Holzbrett,1,1,initial,395,bonus,0,4
Holzbrett-Hemd,3,2,anders,151,standard,1,2
Holzbrett-Hemd,2,1,initial,395,standard,0,2
Holzbrett-Kabel,5,3,anders,682,standard,1,2
Holzbrett-Kabel,2,1,initial,1028,standard,0,2
Holzbrett-Kaffee,2,1,anders,328,standard,1,2
Holzbrett-Kaffee,3,2,initial,672,bonus,0,2
Holzbrett-Kaffeemaschine,3,2,anders,328,standard,4,5
Holzbrett-Kaffeemaschine,3,2,anders,1008,bonus,3,5
Holzbrett-Kaffeemaschine,6,3,anders,710,standard,2,5
Holzbrett-Kaffeemaschine,4,2,gleich,208,bonus,1,5
Holzbrett-Kaffeemaschine,4,2,initial,395,standard,0,5
Kochtopf-Holzbrett,1,1,anders,146,bonus,2,3
Kochtopf-Holzbrett,1,1,anders,564,standard,1,3
Kochtopf-Holzbrett,6,3,initial,782,standard,0,3
Lampe-Holzbrett,2,1,anders,820,bonus,2,3
Lampe-Holzbrett,3,2,anders,202,bonus,1,3
Lampe-Holzbrett,4,2,initial,712,standard,0,3
Nadel-Holzbrett,3,2,anders,1008,bonus,2,3
Nadel-Holzbrett,1,1,gleich,710,standard,1,3
Nadel-Holzbrett,1,1,initial,208,bonus,0,3
Holzbrett-Papier,1,1,gleich,564,standard,1,2
Holzbrett-Papier,1,1,initial,710,standard,0,2
Holzbrett-Papiertaschentuch,3,2,gleich,704,bonus,2,3
Holzbrett-Papiertaschentuch,4,2,anders,153,bonus,1,3
Holzbrett-Papiertaschentuch,1,1,initial,151,standard,0,3
Holzbrett-Schwamm,4,2,initial,395,bonus,0,1
Tasse-Holzbrett,3,2,gleich,704,bonus,4,5
Tasse-Holzbrett,3,2,gleich,146,bonus,3,5
Tasse-Holzbrett,3,2,gleich,820,standard,2,5
Tasse-Holzbrett,3,2,gleich,102,bonus,1,5
Tasse-Holzbrett,3,2,initial,607,standard,0,5
Tee-Holzbrett,3,2,anders,564,standard,3,4
Tee-Holzbrett,2,1,anders,820,standard,2,4
Tee-Holzbrett,1,1,gleich,395,bonus,1,4
Tee-Holzbrett,1,1,initial,712,standard,0,4
Teller-Holzbrett,1,1,anders,782,standard,2,3
Teller-Holzbrett,5,3,anders,202,bonus,1,3
Teller-Holzbrett,3,2,initial,164,standard,0,3
Holzbrett-Toilettenpapier,1,1,initial,952,standard,0,1
Holzbrett-Topfdeckel,3,2,initial,164,standard,0,1
Holzbrett-Waescheklammer,3,2,anders,704,bonus,3,4
Holzbrett-Waescheklammer,2,1,anders,564,standard,2,4
Holzbrett-Waescheklammer,1,1,gleich,726,bonus,1,4
Holzbrett-Waescheklammer,1,1,initial,151,standard,0,4
Waschmaschine-Holzbrett,6,3,anders,1088,standard,2,3
Waschmaschine-Holzbrett,6,3,anders,543,standard,1,3
Waschmaschine-Holzbrett,3,2,initial,154,standard,0,3
Holzbrett-Weinflasche,2,1,gleich,328,standard,4,5
Holzbrett-Weinflasche,3,2,gleich,820,standard,3,5
Holzbrett-Weinflasche,2,1,anders,202,standard,2,5
Holzbrett-Weinflasche,2,1,anders,395,bonus,1,5
Holzbrett-Weinflasche,4,2,initial,825,bonus,0,5
Bleistift-Kabel,4,2,gleich,256,standard,2,3
Bleistift-Kabel,3,2,anders,480,standard,1,3
Bleistift-Kabel,5,3,initial,682,standard,0,3
Kabel-Feuerzeug,6,3,gleich,845,standard,1,2
Kabel-Feuerzeug,6,3,initial,353,standard,0,2
Kabel-Gemuesemesser,6,3,initial,306,standard,0,1
Kabel-Geschirrtuch,5,3,initial,383,standard,0,1
Korken-Kabel,2,1,anders,672,standard,1,2
Korken-Kabel,4,2,initial,404,standard,0,2
Kabel-Nadel,6,3,initial,672,standard,0,1
Kabel-Papiertaschentuch,6,3,initial,480,standard,0,1
Schwamm-Kabel,5,3,gleich,306,bonus,2,3
Schwamm-Kabel,5,3,gleich,261,standard,1,3
Schwamm-Kabel,5,3,initial,588,standard,0,3
Seife-Kabel,5,3,anders,306,bonus,3,4
Seife-Kabel,2,1,anders,710,standard,2,4
Seife-Kabel,4,2,anders,202,standard,1,4
Seife-Kabel,3,2,initial,480,standard,0,4
Kabel-Spuelmittel,5,3,anders,465,standard,2,3
Kabel-Spuelmittel,5,3,anders,845,standard,1,3
Kabel-Spuelmittel,2,1,initial,652,bonus,0,3
Kabel-Streichholz,4,2,anders,465,standard,3,4
Kabel-Streichholz,4,2,anders,652,bonus,2,4
Kabel-Streichholz,1,1,anders,191,bonus,1,4
Kabel-Streichholz,3,2,initial,592,standard,0,4
Kabel-Topfdeckel,3,2,gleich,564,standard,1,2
Kabel-Topfdeckel,3,2,initial,352,standard,0,2
Kabel-Weinflasche,5,3,anders,564,standard,1,2
Kabel-Weinflasche,2,1,initial,191,bonus,0,2
Bleistift-Kaffee,4,2,anders,306,standard,2,3
Bleistift-Kaffee,6,3,anders,663,standard,1,3
Bleistift-Kaffee,5,3,initial,682,standard,0,3
Glas-Kaffee,1,1,anders,256,standard,5,5
Glas-Kaffee,2,1,gleich,710,bonus,4,5
Glas-Kaffee,3,2,gleich,629,standard,3,5
Glas-Kaffee,4,2,anders,202,standard,2,5
Glas-Kaffee,2,1,gleich,682,bonus,1,5
Kaffee-Hemd,3,2,initial,306,standard,0,1
Kaffee-Kerze,2,1,anders,261,standard,1,2
Kaffee-Kerze,5,3,initial,592,standard,0,2
Kopfhoerer-Kaffee,4,2,gleich,738,standard,3,4
Kopfhoerer-Kaffee,2,1,anders,710,bonus,2,4
Kopfhoerer-Kaffee,6,3,anders,629,standard,1,4
Kopfhoerer-Kaffee,5,3,initial,621,standard,0,4
Kaffee-Nadel,4,2,anders,290,bonus,1,2
Kaffee-Nadel,6,3,initial,710,standard,0,2
Papiertaschentuch-Kaffee,2,1,anders,231,standard,1,2
Papiertaschentuch-Kaffee,1,1,initial,256,standard,0,2
Kaffee-Schere,4,2,initial,682,bonus,0,1
Kaffee-Schwamm,2,1,anders,710,standard,1,2
Kaffee-Schwamm,3,2,initial,629,standard,0,2
Seife-Kaffee,2,1,gleich,672,bonus,3,4
Seife-Kaffee,1,1,anders,153,bonus,2,4
Seife-Kaffee,3,2,gleich,143,standard,1,4
Seife-Kaffee,3,2,initial,952,standard,0,4
Kaffee-Tee,1,1,gleich,231,standard,7,8
Kaffee-Tee,1,1,anders,256,standard,6,8
Kaffee-Tee,2,1,gleich,801,bonus,5,8
Kaffee-Tee,1,1,anders,738,standard,4,8
Kaffee-Tee,2,1,gleich,710,standard,3,8
Kaffee-Tee,2,1,gleich,663,standard,2,8
Kaffee-Tee,1,1,anders,621,standard,1,8
Kaffee-Tee,4,2,initial,543,standard,0,8
Kaffee-Tisch,2,1,gleich,710,bonus,4,5
Kaffee-Tisch,1,1,anders,621,standard,3,5
Kaffee-Tisch,4,2,anders,543,standard,2,5
Kaffee-Tisch,4,2,anders,202,standard,1,5
Kaffee-Tisch,1,1,initial,402,standard,0,5
Kaffee-Toilettenpapier,2,1,anders,662,standard,2,3
Kaffee-Toilettenpapier,5,3,anders,728,standard,1,3
Kaffee-Toilettenpapier,3,2,initial,151,standard,0,3
Topfdeckel-Kaffee,4,2,anders,231,standard,5,6
Topfdeckel-Kaffee,1,1,anders,256,standard,4,6
Topfdeckel-Kaffee,3,2,anders,738,bonus,3,6
Topfdeckel-Kaffee,2,1,gleich,151,standard,2,6
Topfdeckel-Kaffee,2,1,gleich,682,bonus,1,6
Topfdeckel-Kaffee,2,1,initial,825,standard,0,6
Kaffee-Waescheklammer,3,2,gleich,738,bonus,1,2
Kaffee-Waescheklammer,3,2,initial,682,standard,0,2
Kaffeemaschine-Bleistift,4,2,gleich,256,standard,2,3
Kaffeemaschine-Bleistift,3,2,anders,865,bonus,1,3
Kaffeemaschine-Bleistift,4,2,initial,261,standard,0,3
Kaffeemaschine-Buegeleisen,2,1,gleich,1008,bonus,3,4
Kaffeemaschine-Buegeleisen,1,1,anders,820,standard,2,4
Kaffeemaschine-Buegeleisen,2,1,anders,353,standard,1,4
Kaffeemaschine-Buegeleisen,3,2,initial,1028,standard,0,4
Glas-Kaffeemaschine,5,3,anders,416,standard,4,5
Glas-Kaffeemaschine,1,1,anders,704,standard,3,5
Glas-Kaffeemaschine,2,1,anders,256,standard,2,5
Glas-Kaffeemaschine,4,2,gleich,820,standard,1,5
Glas-Kaffeemaschine,4,2,initial,216,standard,0,5
Kaffeemaschine-Kabel,1,1,anders,146,standard,6,6
Kaffeemaschine-Kabel,2,1,gleich,1088,standard,5,6
Kaffeemaschine-Kabel,4,2,anders,256,standard,4,6
Kaffeemaschine-Kabel,2,1,gleich,845,standard,3,6
Kaffeemaschine-Kabel,2,1,gleich,682,standard,2,6
Kaffeemaschine-Kabel,2,1,anders,1028,standard,1,6
Kaffee-Kaffeemaschine,3,2,gleich,328,standard,18,18
Kaffee-Kaffeemaschine,5,3,anders,502,standard,17,18
Kaffee-Kaffeemaschine,1,1,anders,231,standard,16,18
Kaffee-Kaffeemaschine,2,1,gleich,256,standard,15,18
Kaffee-Kaffeemaschine,2,1,gleich,845,standard,14,18
Kaffee-Kaffeemaschine,1,1,anders,600,standard,13,18
Kaffee-Kaffeemaschine,1,1,anders,290,standard,12,18
Kaffee-Kaffeemaschine,3,2,gleich,661,standard,11,18
Kaffee-Kaffeemaschine,3,2,gleich,738,standard,10,18
Kaffee-Kaffeemaschine,6,3,anders,710,standard,9,18
Kaffee-Kaffeemaschine,4,2,anders,881,standard,8,18
Kaffee-Kaffeemaschine,4,2,anders,825,standard,7,18
Kaffee-Kaffeemaschine,2,1,gleich,216,standard,6,18
Kaffee-Kaffeemaschine,4,2,anders,728,standard,5,18
Kaffee-Kaffeemaschine,1,1,anders,153,bonus,4,18
Kaffee-Kaffeemaschine,2,1,gleich,151,standard,3,18
Kaffee-Kaffeemaschine,2,1,anders,402,standard,2,18
Kaffee-Kaffeemaschine,5,3,anders,154,standard,1,18
Kaffeemaschine-Kerze,5,3,anders,749,standard,4,5
Kaffeemaschine-Kerze,4,2,anders,1008,bonus,3,5
Kaffeemaschine-Kerze,1,1,anders,290,standard,2,5
Kaffeemaschine-Kerze,3,2,anders,881,standard,1,5
Kaffeemaschine-Kerze,4,2,initial,191,standard,0,5
Korken-Kaffeemaschine,2,1,anders,256,standard,1,2
Korken-Kaffeemaschine,1,1,initial,306,standard,0,2
Kugelschreiber-Kaffeemaschine,6,3,anders,932,standard,5,6
Kugelschreiber-Kaffeemaschine,2,1,anders,290,standard,4,6
Kugelschreiber-Kaffeemaschine,2,1,anders,629,standard,3,6
Kugelschreiber-Kaffeemaschine,3,2,gleich,391,standard,2,6
Kugelschreiber-Kaffeemaschine,4,2,anders,153,bonus,1,6
Kugelschreiber-Kaffeemaschine,3,2,initial,607,standard,0,6
Kaffeemaschine-Lampe,2,1,initial,290,standard,0,1
Kaffeemaschine-Nadel,6,3,anders,136,standard,6,7
Kaffeemaschine-Nadel,5,3,gleich,564,bonus,5,7
Kaffeemaschine-Nadel,5,3,gleich,290,bonus,4,7
Kaffeemaschine-Nadel,6,3,anders,261,standard,3,7
Kaffeemaschine-Nadel,6,3,anders,710,standard,2,7
Kaffeemaschine-Nadel,4,2,anders,682,standard,1,7
Kaffeemaschine-Nadel,3,2,initial,1028,standard,0,7
Kaffeemaschine-Plastikverpackung,4,2,gleich,146,standard,9,10
Kaffeemaschine-Plastikverpackung,2,1,anders,136,standard,8,10
Kaffeemaschine-Plastikverpackung,6,3,anders,1088,standard,7,10
Kaffeemaschine-Plastikverpackung,4,2,gleich,803,standard,6,10
Kaffeemaschine-Plastikverpackung,3,2,anders,306,standard,5,10
Kaffeemaschine-Plastikverpackung,6,3,anders,738,standard,4,10
Kaffeemaschine-Plastikverpackung,2,1,anders,820,standard,3,10
Kaffeemaschine-Plastikverpackung,6,3,anders,629,standard,2,10
Kaffeemaschine-Plastikverpackung,6,3,anders,578,standard,1,10
Kaffeemaschine-Plastikverpackung,4,2,initial,728,standard,0,10
Kaffeemaschine-Schwamm,5,3,anders,564,bonus,4,5
Kaffeemaschine-Schwamm,5,3,anders,661,standard,3,5
Kaffeemaschine-Schwamm,1,1,gleich,710,standard,2,5
Kaffeemaschine-Schwamm,2,1,anders,153,standard,1,5
Kaffeemaschine-Schwamm,1,1,initial,509,standard,0,5
Kaffeemaschine-Spuelmittel,6,3,initial,682,standard,0,1
Kaffeemaschine-Tasse,3,2,gleich,328,standard,11,12
Kaffeemaschine-Tasse,2,1,anders,256,standard,10,12
Kaffeemaschine-Tasse,1,1,anders,306,standard,9,12
Kaffeemaschine-Tasse,2,1,anders,820,standard,8,12
Kaffeemaschine-Tasse,4,2,gleich,881,standard,7,12
Kaffeemaschine-Tasse,6,3,anders,216,standard,6,12
Kaffeemaschine-Tasse,3,2,gleich,230,standard,5,12
Kaffeemaschine-Tasse,2,1,anders,607,bonus,4,12
Kaffeemaschine-Tasse,6,3,anders,147,standard,3,12
Kaffeemaschine-Tasse,4,2,anders,208,bonus,2,12
Kaffeemaschine-Tasse,1,1,anders,682,standard,1,12
Kaffeemaschine-Tasse,4,2,initial,952,standard,0,12
Tisch-Kaffeemaschine,1,1,anders,256,standard,7,8
Tisch-Kaffeemaschine,3,2,gleich,663,bonus,6,8
Tisch-Kaffeemaschine,6,3,anders,147,standard,5,8
Tisch-Kaffeemaschine,2,1,gleich,402,standard,4,8
Tisch-Kaffeemaschine,3,2,gleich,1028,standard,3,8
Tisch-Kaffeemaschine,4,2,anders,395,standard,2,8
Tisch-Kaffeemaschine,3,2,anders,952,standard,1,8
Tisch-Kaffeemaschine,1,1,initial,712,standard,0,8
Kaffeemaschine-Waescheklammer,6,3,gleich,697,standard,5,6
Kaffeemaschine-Waescheklammer,6,3,anders,1088,standard,4,6
Kaffeemaschine-Waescheklammer,6,3,anders,306,standard,3,6
Kaffeemaschine-Waescheklammer,4,2,anders,532,standard,2,6
Kaffeemaschine-Waescheklammer,4,2,anders,353,standard,1,6
Kaffeemaschine-Waescheklammer,6,3,initial,682,standard,0,6
Weinflasche-Kaffeemaschine,3,2,anders,328,standard,6,7
Weinflasche-Kaffeemaschine,4,2,gleich,416,standard,5,7
Weinflasche-Kaffeemaschine,6,3,anders,465,standard,4,7
Weinflasche-Kaffeemaschine,3,2,anders,588,standard,3,7
Weinflasche-Kaffeemaschine,4,2,gleich,208,bonus,2,7
Weinflasche-Kaffeemaschine,5,3,anders,825,bonus,1,7
Weinflasche-Kaffeemaschine,4,2,initial,154,standard,0,7
Feuerzeug-Kerze,6,3,anders,697,standard,12,12
Feuerzeug-Kerze,2,1,gleich,416,bonus,11,12
Feuerzeug-Kerze,2,1,gleich,749,standard,10,12
Feuerzeug-Kerze,1,1,gleich,865,standard,9,12
Feuerzeug-Kerze,2,1,gleich,404,standard,8,12
Feuerzeug-Kerze,1,1,anders,663,standard,7,12
Feuerzeug-Kerze,1,1,anders,353,standard,6,12
Feuerzeug-Kerze,3,2,anders,383,bonus,5,12
Feuerzeug-Kerze,2,1,gleich,621,standard,4,12
Feuerzeug-Kerze,5,3,anders,306,standard,3,12
Feuerzeug-Kerze,1,1,gleich,1028,bonus,2,12
Feuerzeug-Kerze,1,1,gleich,712,standard,1,12
Kerze-Geschirrtuch,3,2,gleich,107,standard,3,4
Kerze-Geschirrtuch,2,1,gleich,367,bonus,2,4
Kerze-Geschirrtuch,1,1,anders,261,standard,1,4
Kerze-Geschirrtuch,4,2,initial,933,bonus,0,4
Kerze-Glas,1,1,gleich,933,standard,4,5
Kerze-Glas,1,1,gleich,383,bonus,3,5
Kerze-Glas,2,1,anders,726,bonus,2,5
Kerze-Glas,1,1,gleich,1028,bonus,1,5
Kerze-Glas,1,1,initial,154,standard,0,5
Hemd-Kerze,4,2,anders,697,standard,1,2
Hemd-Kerze,2,1,initial,146,standard,0,2
Holzbrett-Kerze,1,1,anders,564,standard,1,2
Holzbrett-Kerze,3,2,initial,1008,bonus,0,2
Kerze-Kabel,2,1,initial,564,standard,0,1
Kopfhoerer-Kerze,4,2,anders,146,bonus,2,3
Kopfhoerer-Kerze,3,2,gleich,306,standard,1,3
Kopfhoerer-Kerze,3,2,initial,560,standard,0,3
Kerze-Lampe,1,1,anders,704,standard,8,9
Kerze-Lampe,2,1,anders,290,standard,7,9
Kerze-Lampe,2,1,anders,107,standard,6,9
Kerze-Lampe,4,2,anders,261,standard,5,9
Kerze-Lampe,4,2,anders,663,standard,4,9
Kerze-Lampe,4,2,anders,933,standard,3,9
Kerze-Lampe,2,1,gleich,230,standard,2,9
Kerze-Lampe,2,1,anders,306,standard,1,9
Kerze-Lampe,3,2,initial,154,standard,0,9
Kerze-Papier,1,1,anders,710,standard,3,4
Kerze-Papier,5,3,gleich,353,standard,2,4
Kerze-Papier,3,2,anders,216,standard,1,4
Kerze-Papier,6,3,initial,518,standard,0,4
Kerze-Plastikverpackung,5,3,anders,146,bonus,3,4
Kerze-Plastikverpackung,6,3,anders,621,standard,2,4
Kerze-Plastikverpackung,2,1,anders,726,bonus,1,4
Kerze-Plastikverpackung,4,2,initial,271,standard,0,4
Kerze-Tasse,6,3,anders,261,standard,3,4
Kerze-Tasse,4,2,gleich,663,standard,2,4
Kerze-Tasse,4,2,gleich,202,bonus,1,4
Kerze-Tasse,4,2,initial,291,standard,0,4
Topfdeckel-Kerze,2,1,anders,416,bonus,3,4
Topfdeckel-Kerze,4,2,gleich,146,bonus,2,4
Topfdeckel-Kerze,3,2,anders,404,standard,1,4
Topfdeckel-Kerze,6,3,initial,726,standard,0,4
Waescheklammer-Kerze,5,3,anders,107,standard,2,3
Waescheklammer-Kerze,3,2,anders,881,standard,1,3
Waescheklammer-Kerze,4,2,initial,682,standard,0,3
Kerze-Waschmaschine,5,3,anders,564,standard,1,2
Kerze-Waschmaschine,3,2,initial,672,bonus,0,2
Kerze-Weinflasche,4,2,anders,256,bonus,4,5
Kerze-Weinflasche,2,1,gleich,306,standard,3,5
Kerze-Weinflasche,2,1,anders,261,standard,2,5
Kerze-Weinflasche,4,2,anders,202,bonus,1,5
Kerze-Weinflasche,2,1,initial,952,standard,0,5
Klebeband-Faden,6,3,initial,1028,standard,0,1
Klebeband-Gemuesemesser,3,2,anders,697,standard,2,3
Klebeband-Gemuesemesser,6,3,anders,306,standard,1,3
Klebeband-Gemuesemesser,4,2,initial,367,standard,0,3
Holzbrett-Klebeband,4,2,gleich,697,standard,3,4
Holzbrett-Klebeband,6,3,anders,820,standard,2,4
Holzbrett-Klebeband,6,3,anders,726,bonus,1,4
Holzbrett-Klebeband,1,1,initial,395,standard,0,4
Klebeband-Kabel,6,3,initial,726,bonus,0,1
Klebeband-Kaffeemaschine,4,2,gleich,672,standard,4,5
Klebeband-Kaffeemaschine,3,2,anders,865,bonus,3,5
Klebeband-Kaffeemaschine,6,3,anders,191,standard,2,5
Klebeband-Kaffeemaschine,5,3,anders,395,standard,1,5
Klebeband-Kaffeemaschine,4,2,initial,1056,standard,0,5
Klebeband-Kerze,2,1,initial,216,standard,0,1
Klebeband-Kochloeffel,3,2,gleich,782,bonus,3,4
Klebeband-Kochloeffel,1,1,anders,865,bonus,2,4
Klebeband-Kochloeffel,4,2,gleich,151,bonus,1,4
Klebeband-Kochloeffel,4,2,initial,216,standard,0,4
Klebeband-Kochtopf,4,2,anders,1008,bonus,3,4
Klebeband-Kochtopf,3,2,gleich,782,bonus,2,4
Klebeband-Kochtopf,3,2,gleich,216,standard,1,4
Klebeband-Kochtopf,3,2,initial,712,standard,0,4
Klebeband-Kopfhoerer,1,1,initial,803,standard,0,1
Klebeband-Korken,2,1,anders,672,standard,3,4
Klebeband-Korken,5,3,anders,306,standard,2,4
Klebeband-Korken,3,2,gleich,304,bonus,1,4
Klebeband-Korken,3,2,initial,164,standard,0,4
Klebeband-Papier,1,1,anders,697,standard,2,3
Klebeband-Papier,6,3,anders,216,standard,1,3
Klebeband-Papier,2,1,initial,143,bonus,0,3
Streichholz-Klebeband,3,2,gleich,820,standard,1,2
Streichholz-Klebeband,3,2,initial,629,standard,0,2
Klebeband-Tisch,4,2,gleich,1008,bonus,6,7
Klebeband-Tisch,4,2,gleich,865,bonus,5,7
Klebeband-Tisch,1,1,anders,306,standard,4,7
Klebeband-Tisch,3,2,anders,402,standard,3,7
Klebeband-Tisch,5,3,gleich,242,bonus,2,7
Klebeband-Tisch,5,3,anders,147,standard,1,7
Klebeband-Tisch,4,2,initial,395,standard,0,7
Klebeband-Waschmaschine,3,2,anders,782,bonus,6,7
Klebeband-Waschmaschine,5,3,anders,367,standard,5,7
Klebeband-Waschmaschine,2,1,anders,629,standard,4,7
Klebeband-Waschmaschine,5,3,anders,643,bonus,3,7
Klebeband-Waschmaschine,4,2,gleich,607,bonus,2,7
Klebeband-Waschmaschine,4,2,gleich,432,standard,1,7
Klebeband-Waschmaschine,4,2,initial,669,standard,0,7
Kochloeffel-Gemuesemesser,1,1,anders,704,standard,7,8
Kochloeffel-Gemuesemesser,3,2,anders,629,standard,6,8
Kochloeffel-Gemuesemesser,3,2,anders,728,standard,5,8
Kochloeffel-Gemuesemesser,2,1,gleich,202,bonus,4,8
Kochloeffel-Gemuesemesser,2,1,gleich,242,standard,3,8
Kochloeffel-Gemuesemesser,2,1,anders,1028,standard,2,8
Kochloeffel-Gemuesemesser,1,1,gleich,952,bonus,1,8
Kochloeffel-Gemuesemesser,1,1,initial,164,standard,0,8
Geschirrtuch-Kochloeffel,3,2,gleich,704,standard,6,7
Geschirrtuch-Kochloeffel,6,3,anders,865,standard,5,7
Geschirrtuch-Kochloeffel,1,1,anders,710,standard,4,7
Geschirrtuch-Kochloeffel,1,1,anders,629,bonus,3,7
Geschirrtuch-Kochloeffel,1,1,anders,728,standard,2,7
Geschirrtuch-Kochloeffel,6,3,anders,588,standard,1,7
Geschirrtuch-Kochloeffel,5,3,initial,208,standard,0,7
Kochloeffel-Hemd,4,2,initial,629,standard,0,1
Holzbrett-Kochloeffel,6,3,anders,782,standard,3,4
Holzbrett-Kochloeffel,5,3,anders,404,standard,2,4
Holzbrett-Kochloeffel,1,1,gleich,191,standard,1,4
Holzbrett-Kochloeffel,1,1,initial,164,standard,0,4
Kabel-Kochloeffel,2,1,anders,256,bonus,2,3
Kabel-Kochloeffel,5,3,anders,391,standard,1,3
Kabel-Kochloeffel,3,2,initial,588,standard,0,3
Kochloeffel-Kaffee,2,1,initial,682,bonus,0,1
Kaffeemaschine-Kochloeffel,2,1,anders,600,standard,2,3
Kaffeemaschine-Kochloeffel,4,2,gleich,353,standard,1,3
Kaffeemaschine-Kochloeffel,4,2,initial,881,standard,0,3
Kochloeffel-Kochtopf,1,1,gleich,1008,standard,12,12
Kochloeffel-Kochtopf,2,1,gleich,782,standard,11,12
Kochloeffel-Kochtopf,1,1,anders,865,standard,10,12
Kochloeffel-Kochtopf,1,1,anders,107,standard,9,12
Kochloeffel-Kochtopf,1,1,anders,404,standard,8,12
Kochloeffel-Kochtopf,4,2,anders,457,standard,7,12
Kochloeffel-Kochtopf,1,1,anders,710,standard,6,12
